Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
J3,22.0000mm,11.7500mm,Top,360,22.0000mm,18.0000mm
C5,19.2250mm,21.2250mm,Top,0,19.2250mm,21.2250mm
L1,14.5750mm,22.0750mm,Top,270,14.5750mm,22.0750mm
R4,65.7000mm,38.5000mm,Top,90,65.7000mm,38.5000mm
R3,68.2000mm,38.5000mm,Top,90,68.2000mm,38.5000mm
R2,70.7000mm,38.5000mm,Top,90,70.7000mm,38.5000mm
R11,45.2000mm,38.5000mm,Top,90,45.2000mm,38.5000mm
R8,54.2000mm,38.5000mm,Top,90,54.2000mm,38.5000mm
R6,59.9500mm,38.5000mm,Top,90,59.9500mm,38.5000mm
R1,73.9500mm,38.5000mm,Top,90,73.9500mm,38.5000mm
R9,48.4500mm,38.5000mm,Top,90,48.4500mm,38.5000mm
D60,83.5500mm,38.7500mm,Top,90,83.5000mm,38.8000mm
D59,80.8500mm,38.7500mm,Top,90,80.8000mm,38.8000mm
D8,146.5474mm,38.7500mm,Top,90,146.4974mm,38.8000mm
D61,78.1500mm,38.7500mm,Top,90,78.1000mm,38.8000mm
D7,143.6500mm,38.7500mm,Top,90,143.6000mm,38.8000mm
D58,128.9500mm,38.7500mm,Top,90,128.9000mm,38.8000mm
D57,126.2500mm,38.7500mm,Top,90,126.2000mm,38.8000mm
D56,123.5500mm,38.7500mm,Top,90,123.5000mm,38.8000mm
D55,120.8500mm,38.7500mm,Top,90,120.8000mm,38.8000mm
D69,132.1500mm,38.7500mm,Top,90,132.1000mm,38.8000mm
D68,134.8500mm,38.7500mm,Top,90,134.8000mm,38.8000mm
D67,137.5500mm,38.7500mm,Top,90,137.5000mm,38.8000mm
D66,140.2500mm,38.7500mm,Top,90,140.2000mm,38.8000mm
D33,93.8750mm,38.7500mm,Top,90,93.8250mm,38.8000mm
D36,85.7750mm,38.7500mm,Top,90,85.7250mm,38.8000mm
D52,113.3000mm,38.7500mm,Top,90,113.2500mm,38.8000mm
D51,116.0000mm,38.7500mm,Top,90,115.9500mm,38.8000mm
D53,110.6000mm,38.7500mm,Top,90,110.5500mm,38.8000mm
D34,91.1750mm,38.7500mm,Top,90,91.1250mm,38.8000mm
D54,107.9000mm,38.7500mm,Top,90,107.8500mm,38.8000mm
D35,88.4750mm,38.7500mm,Top,90,88.4250mm,38.8000mm
D9,149.5000mm,38.7500mm,Top,90,149.4500mm,38.8000mm
D32,97.5500mm,38.7500mm,Top,90,97.5000mm,38.8000mm
D31,100.2500mm,38.7500mm,Top,90,100.2000mm,38.8000mm
D30,102.9500mm,38.7500mm,Top,90,102.9000mm,38.8000mm
D29,105.6500mm,38.7500mm,Top,90,105.6000mm,38.8000mm
R22,75.0250mm,42.1500mm,Top,180,75.0250mm,42.1500mm
M6,47.6625mm,44.3250mm,Top,0,38.4250mm,42.4000mm
D39,70.7500mm,42.3500mm,Top,90,70.7000mm,42.4000mm
D38,68.2500mm,42.3500mm,Top,90,68.2000mm,42.4000mm
D37,65.6500mm,42.3500mm,Top,90,65.6000mm,42.4000mm
D1,143.8750mm,42.5000mm,Top,90,143.8750mm,42.5000mm
D44,121.0000mm,42.6000mm,Top,90,121.0000mm,42.6000mm
D3,149.4500mm,42.7000mm,Top,90,149.4500mm,42.7000mm
D49,80.8000mm,42.7000mm,Top,90,80.8000mm,42.7000mm
D2,146.5000mm,42.7000mm,Top,90,146.5000mm,42.7000mm
D47,128.9000mm,42.7000mm,Top,90,128.9000mm,42.7000mm
D46,126.2000mm,42.7000mm,Top,90,126.2000mm,42.7000mm
D45,123.5000mm,42.7000mm,Top,90,123.5000mm,42.7000mm
D65,132.1000mm,42.7000mm,Top,90,132.1000mm,42.7000mm
D64,134.8000mm,42.7000mm,Top,90,134.8000mm,42.7000mm
D63,137.5000mm,42.7000mm,Top,90,137.5000mm,42.7000mm
D62,140.3000mm,42.7000mm,Top,90,140.3000mm,42.7000mm
D41,113.3500mm,42.7000mm,Top,90,113.3500mm,42.7000mm
D43,107.8500mm,42.7000mm,Top,90,107.8500mm,42.7000mm
D20,100.3000mm,42.7000mm,Top,90,100.3000mm,42.7000mm
D18,105.6000mm,42.7000mm,Top,90,105.6000mm,42.7000mm
D19,102.9000mm,42.7000mm,Top,90,102.9000mm,42.7000mm
D42,110.6500mm,42.7000mm,Top,90,110.6500mm,42.7000mm
D40,115.4500mm,42.7000mm,Top,90,115.4500mm,42.7000mm
D50,83.5000mm,42.7500mm,Top,90,83.5000mm,42.7500mm
D48,78.1000mm,42.8000mm,Top,90,78.1000mm,42.8000mm
D25,85.8250mm,42.8000mm,Top,90,85.8250mm,42.8000mm
D23,91.1250mm,42.8000mm,Top,90,91.1250mm,42.8000mm
D24,88.5250mm,42.8000mm,Top,90,88.5250mm,42.8000mm
D21,98.0000mm,42.8250mm,Top,90,98.0000mm,42.8250mm
D22,93.6500mm,42.8250mm,Top,90,93.6500mm,42.8250mm
P10,61.8950mm,43.5750mm,Top,0,61.8950mm,43.5750mm
R12,58.4750mm,43.9000mm,Top,270,58.4750mm,43.9000mm
D28,71.5000mm,45.7750mm,Top,180,71.5000mm,45.7750mm
D27,68.2000mm,45.7750mm,Top,180,68.2000mm,45.7750mm
D26,64.9000mm,45.7750mm,Top,180,64.9000mm,45.7750mm
R17,102.6000mm,45.9250mm,Top,0,102.6000mm,45.9250mm
R21,126.1500mm,45.9500mm,Top,0,126.1500mm,45.9500mm
R20,112.8000mm,46.1000mm,Top,0,112.8000mm,46.1000mm
R13,147.4750mm,46.2000mm,Top,0,147.4750mm,46.2000mm
R23,143.1250mm,46.2500mm,Top,0,143.1250mm,46.2500mm
R18,89.7250mm,46.3000mm,Top,0,89.7250mm,46.3000mm
R19,74.8000mm,46.4500mm,Top,270,74.8000mm,46.4500mm
D70,93.4250mm,46.5500mm,Top,180,93.4250mm,46.5500mm
P9,61.8950mm,46.6250mm,Top,0,61.8950mm,46.6250mm
M5,78.6375mm,55.9250mm,Top,0,70.6750mm,48.0000mm
D71,95.1500mm,48.9250mm,Top,90,95.1500mm,48.9250mm
M1,55.5650mm,56.8460mm,Top,0,39.2000mm,49.5000mm
M7,112.6375mm,71.2175mm,Top,0,98.5000mm,49.7000mm
P8,140.8250mm,53.6250mm,Top,180,140.8250mm,53.6250mm
Q1,92.6750mm,58.3750mm,Top,270,92.6750mm,58.3750mm
M2,62.3625mm,83.5750mm,Top,0,39.1000mm,64.9000mm
Q2,94.2500mm,68.2750mm,Top,270,94.2500mm,68.2750mm
R16,32.8744mm,71.7858mm,Top,180,32.8744mm,71.7858mm
R15,22.2744mm,71.7858mm,Top,180,22.2744mm,71.7858mm
R27,93.2750mm,76.4000mm,Top,360,93.2750mm,76.4000mm
R28,92.4500mm,77.8000mm,Top,360,92.4500mm,77.8000mm
D17,36.9494mm,80.0608mm,Top,90,36.8994mm,80.1108mm
D16,34.2494mm,80.0608mm,Top,90,34.1994mm,80.1108mm
D15,31.5494mm,80.0608mm,Top,90,31.4994mm,80.1108mm
D14,28.8494mm,80.0608mm,Top,90,28.7994mm,80.1108mm
D13,26.1494mm,80.0608mm,Top,90,26.0994mm,80.1108mm
D12,23.4494mm,80.0608mm,Top,90,23.3994mm,80.1108mm
D11,20.7494mm,80.0608mm,Top,90,20.6994mm,80.1108mm
D10,18.0494mm,80.0608mm,Top,90,17.9994mm,80.1108mm
M13,130.4250mm,86.3875mm,Top,90,134.0000mm,80.7000mm
M8,33.8625mm,95.9377mm,Top,0,29.9000mm,88.9750mm
M3,112.0600mm,97.8375mm,Top,0,92.1500mm,94.1000mm
M12,142.1500mm,77.3500mm,Top,270,134.6000mm,97.0250mm
P11,144.0500mm,99.8500mm,Top,360,137.7000mm,99.8500mm
M9,113.8475mm,108.6750mm,Top,0,111.0250mm,102.4000mm
R26,83.1750mm,104.1750mm,Top,360,83.1750mm,104.1750mm
R14,128.7500mm,104.2500mm,Top,90,128.7500mm,104.2500mm
M10,48.6575mm,108.4550mm,Top,0,42.9700mm,104.8800mm
R24,132.2250mm,104.9250mm,Top,270,132.2250mm,104.9250mm
