Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
R4,65.7000mm,38.5000mm,Top,90,65.7000mm,38.5000mm
R3,68.2000mm,38.5000mm,Top,90,68.2000mm,38.5000mm
R2,70.7000mm,38.5000mm,Top,90,70.7000mm,38.5000mm
R11,45.2000mm,38.5000mm,Top,90,45.2000mm,38.5000mm
R8,54.2000mm,38.5000mm,Top,90,54.2000mm,38.5000mm
R7,56.7000mm,38.5000mm,Top,90,56.7000mm,38.5000mm
R6,59.9500mm,38.5000mm,Top,90,59.9500mm,38.5000mm
R5,62.4500mm,38.5000mm,Top,90,62.4500mm,38.5000mm
R1,73.9500mm,38.5000mm,Top,90,73.9500mm,38.5000mm
R10,50.9500mm,38.5000mm,Top,90,50.9500mm,38.5000mm
R9,48.4500mm,38.5000mm,Top,90,48.4500mm,38.5000mm
D60,83.5500mm,38.7500mm,Top,90,83.5000mm,38.8000mm
D59,80.8500mm,38.7500mm,Top,90,80.8000mm,38.8000mm
D61,78.1500mm,38.7500mm,Top,90,78.1000mm,38.8000mm
D58,128.9500mm,38.7500mm,Top,90,128.9000mm,38.8000mm
D57,126.2500mm,38.7500mm,Top,90,126.2000mm,38.8000mm
D56,123.5500mm,38.7500mm,Top,90,123.5000mm,38.8000mm
D55,120.8500mm,38.7500mm,Top,90,120.8000mm,38.8000mm
D69,132.1500mm,38.7500mm,Top,90,132.1000mm,38.8000mm
D68,134.8500mm,38.7500mm,Top,90,134.8000mm,38.8000mm
D67,137.5500mm,38.7500mm,Top,90,137.5000mm,38.8000mm
D66,140.2500mm,38.7500mm,Top,90,140.2000mm,38.8000mm
D33,93.8750mm,38.7500mm,Top,90,93.8250mm,38.8000mm
D36,85.7750mm,38.7500mm,Top,90,85.7250mm,38.8000mm
D52,113.3000mm,38.7500mm,Top,90,113.2500mm,38.8000mm
D51,116.0000mm,38.7500mm,Top,90,115.9500mm,38.8000mm
D53,110.6000mm,38.7500mm,Top,90,110.5500mm,38.8000mm
D34,91.1750mm,38.7500mm,Top,90,91.1250mm,38.8000mm
D54,107.9000mm,38.7500mm,Top,90,107.8500mm,38.8000mm
D35,88.4750mm,38.7500mm,Top,90,88.4250mm,38.8000mm
D32,97.5500mm,38.7500mm,Top,90,97.5000mm,38.8000mm
D31,100.2500mm,38.7500mm,Top,90,100.2000mm,38.8000mm
D30,102.9500mm,38.7500mm,Top,90,102.9000mm,38.8000mm
D29,105.6500mm,38.7500mm,Top,90,105.6000mm,38.8000mm
D39,70.7500mm,42.3500mm,Top,90,70.7000mm,42.4000mm
