Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
M5,57.716540mm,72.656720mm,Top,180.0,57.716540mm,72.656720mm
M6,83.826692mm,61.355340mm,Top,90.0,83.826692mm,61.355340mm
M7,57.329037mm,10.194225mm,Top,90.0,57.329037mm,10.194225mm
M8,90.890179mm,104.273677mm,Top,180.0,90.890179mm,104.273677mm
M9,108.441680mm,89.933340mm,Top,180.0,108.441680mm,89.933340mm
M10,30.062891mm,105.333985mm,Top,90.0,30.062891mm,105.333985mm
M11,21.737500mm,57.700000mm,Top,90.0,21.737500mm,57.700000mm
M12,69.923610mm,85.983229mm,Top,90.0,69.923610mm,85.983229mm
M13,110.993538mm,19.828557mm,Top,180.0,110.993538mm,19.828557mm
P1,111.997680mm,88.805340mm,Top,180.0,111.997680mm,88.805340mm
P2,14.901680mm,139.105340mm,Top,0.0,14.901680mm,139.105340mm
P3,24.251680mm,124.505340mm,Top,0.0,24.251680mm,124.505340mm
P4,65.112640mm,43.410220mm,Top,0.0,65.112640mm,43.410220mm
P5,62.302380mm,35.910220mm,Top,0.0,62.302380mm,35.910220mm
P6,62.302380mm,43.412400mm,Top,0.0,62.302380mm,43.412400mm
P7,116.061680mm,117.365340mm,Top,180.0,116.061680mm,117.365340mm
P8,78.723680mm,123.461340mm,Top,180.0,78.723680mm,123.461340mm
P9,78.723680mm,120.667340mm,Top,180.0,78.723680mm,120.667340mm
P10,78.723680mm,117.873340mm,Top,0.0,78.723680mm,117.873340mm
P11,29.701680mm,76.105340mm,Top,180.0,29.701680mm,76.105340mm
P12,29.701680mm,79.005340mm,Top,0.0,29.701680mm,79.005340mm
P13,32.601680mm,76.105340mm,Top,180.0,32.601680mm,76.105340mm
P15,78.723680mm,115.079340mm,Top,0.0,78.723680mm,115.079340mm
P16,21.201680mm,124.505340mm,Top,0.0,21.201680mm,124.505340mm
P17,18.101680mm,124.477340mm,Top,0.0,18.101680mm,124.477340mm
P18,66.401680mm,64.279340mm,Top,90.0,66.401680mm,64.279340mm
P19,43.925680mm,124.731340mm,Top,0.0,43.925680mm,124.731340mm
P20,113.201680mm,92.055340mm,Top,0.0,113.201680mm,92.055340mm
P21,14.999680mm,124.477340mm,Top,0.0,14.999680mm,124.477340mm
P23,49.151680mm,74.555340mm,Top,0.0,49.151680mm,74.555340mm
P48,139.175680mm,120.667340mm,Top,180.0,139.175680mm,120.667340mm
P49,136.381680mm,123.969340mm,Top,180.0,136.381680mm,123.969340mm
P50,145.779680mm,127.779340mm,Top,0.0,145.779680mm,127.779340mm
P51,136.381680mm,120.667340mm,Top,180.0,136.381680mm,120.667340mm
P52,100.567680mm,116.349340mm,Top,180.0,100.567680mm,116.349340mm
P53,97.519680mm,116.349340mm,Top,180.0,97.519680mm,116.349340mm
P56,139.175680mm,123.969340mm,Top,180.0,139.175680mm,123.969340mm
Q1,120.379680mm,113.809340mm,Top,270.0,120.379680mm,113.809340mm
Q2,88.629680mm,112.285340mm,Top,270.0,88.629680mm,112.285340mm
R1,95.487680mm,121.683340mm,Top,90.0,95.487680mm,121.683340mm
R2,25.100000mm,86.012500mm,Top,-90.0,25.100000mm,86.012500mm
R3,88.551680mm,76.980340mm,Top,0.0,88.551680mm,76.980340mm
R4,113.151680mm,83.755340mm,Top,180.0,113.151680mm,83.755340mm
R5,109.457680mm,121.683340mm,Top,90.0,109.457680mm,121.683340mm
R6,67.801680mm,70.883340mm,Top,180.0,67.801680mm,70.883340mm
R7,115.299680mm,122.445340mm,Top,90.0,115.299680mm,122.445340mm
R8,117.331680mm,122.445340mm,Top,90.0,117.331680mm,122.445340mm
R9,123.427680mm,122.445340mm,Top,90.0,123.427680mm,122.445340mm
R10,121.395680mm,122.445340mm,Top,90.0,121.395680mm,122.445340mm
R11,134.095680mm,122.445340mm,Top,90.0,134.095680mm,122.445340mm
R12,104.377680mm,121.683340mm,Top,-90.0,104.377680mm,121.683340mm
R13,72.956040mm,5.730340mm,Top,0.0,72.956040mm,5.730340mm
R14,118.651680mm,100.405340mm,Top,180.0,118.651680mm,100.405340mm
R15,118.651680mm,98.505340mm,Top,180.0,118.651680mm,98.505340mm
R16,110.551680mm,99.405340mm,Top,270.0,110.551680mm,99.405340mm
R17,102.345680mm,121.683340mm,Top,-90.0,102.345680mm,121.683340mm
R18,97.773680mm,121.683340mm,Top,90.0,97.773680mm,121.683340mm
R19,45.951680mm,97.830340mm,Top,180.0,45.951680mm,97.830340mm
R20,86.343680mm,95.775340mm,Top,180.0,86.343680mm,95.775340mm
R21,42.551680mm,99.055340mm,Top,180.0,42.551680mm,99.055340mm
R22,109.965680mm,109.491340mm,Top,90.0,109.965680mm,109.491340mm
R23,98.789680mm,112.031340mm,Top,0.0,98.789680mm,112.031340mm
R24,91.169680mm,121.683340mm,Top,90.0,91.169680mm,121.683340mm
R25,72.627680mm,121.683340mm,Top,90.0,72.627680mm,121.683340mm
R26,81.009680mm,121.683340mm,Top,90.0,81.009680mm,121.683340mm
R27,87.105680mm,121.683340mm,Top,-90.0,87.105680mm,121.683340mm
R28,118.855680mm,108.221340mm,Top,0.0,118.855680mm,108.221340mm
R29,84.057680mm,109.491340mm,Top,90.0,84.057680mm,109.491340mm
R30,125.459680mm,122.445340mm,Top,90.0,125.459680mm,122.445340mm
R31,107.171680mm,121.683340mm,Top,90.0,107.171680mm,121.683340mm
R32,141.461680mm,122.445340mm,Top,90.0,141.461680mm,122.445340mm
R33,127.491680mm,122.445340mm,Top,90.0,127.491680mm,122.445340mm
R34,129.523680mm,122.445340mm,Top,90.0,129.523680mm,122.445340mm
R35,45.195680mm,99.077340mm,Top,0.0,45.195680mm,99.077340mm
R36,122.665680mm,54.119340mm,Top,180.0,122.665680mm,54.119340mm
R37,147.557680mm,130.319340mm,Top,0.0,147.557680mm,130.319340mm
R40,119.363680mm,122.445340mm,Top,90.0,119.363680mm,122.445340mm
R43,46.973680mm,121.683340mm,Top,90.0,46.973680mm,121.683340mm
R44,100.313680mm,121.683340mm,Top,90.0,100.313680mm,121.683340mm
R47,83.041680mm,121.683340mm,Top,90.0,83.041680mm,121.683340mm
R48,89.137680mm,121.683340mm,Top,90.0,89.137680mm,121.683340mm
R49,85.073680mm,121.683340mm,Top,90.0,85.073680mm,121.683340mm
R50,72.876680mm,9.830340mm,Top,0.0,72.876680mm,9.830340mm
R55,27.636501mm,86.011737mm,Top,-90.0,27.636501mm,86.011737mm
S1,64.201680mm,18.705340mm,Top,-90.0,64.201680mm,18.705340mm
S2,68.776680mm,18.705340mm,Top,-90.0,68.776680mm,18.705340mm
U1,63.801680mm,28.605340mm,Top,180.0,63.801680mm,28.605340mm
U2,144.411680mm,40.860340mm,Top,-90.0,144.411680mm,40.860340mm
U3,126.401680mm,82.005340mm,Top,180.0,126.401680mm,82.005340mm
U4,135.501680mm,11.330340mm,Top,0.0,135.501680mm,11.330340mm
U5,43.676680mm,109.255340mm,Top,90.0,43.676680mm,109.255340mm
